analyze,fontface,fontsize,language,theme,average_cct,average_cct_without_background,diff65,background_cct
light,Consolas-Regular,14,c,Gruvbox,4678,2376,-28,5032
light,Consolas-Regular,14,c,Tiny Light,5260,2356,-19,5754
dark,Consolas-Regular,14,c,Gruvbox,5686,2158,-13,6503
light,Consolas-Regular,14,c,Monokai Pro,5937,2409,-9,6503
dark,Consolas-Regular,14,c,Monokai Pro,6093,2325,-6,6792
dark,Consolas-Regular,14,c,Default,6515,2987,0,6503
dark,Consolas-Regular,14,c,Visual Studio C/C++,6802,3274,5,6503
light,Consolas-Regular,14,c,Ayu,6864,3274,6,6578
light,Consolas-Regular,14,c,Visual Studio C/C++,6872,3344,6,6503
light,Consolas-Regular,14,c,Netbeans Light,6903,3375,6,6503
dark,Consolas-Regular,14,c,Community Material,7086,3558,9,6503
light,Consolas-Regular,14,c,Snazzy Light,7086,3496,9,6577
light,Consolas-Regular,14,c,Hop Light,7206,3678,11,6503
dark,Consolas-Regular,14,c,Winter is Coming,7306,4538,12,5591
light,Consolas-Regular,14,c,Github,7450,3922,15,6503
light,Consolas-Regular,14,c,Material,7518,3990,16,6503
light,Consolas-Regular,14,c,Community Material,7762,4234,19,6503
light,Consolas-Regular,14,c,Learn with Sumit,8165,4637,26,6503
light,Consolas-Regular,14,c,Default,8363,4835,29,6503
dark,Consolas-Regular,14,c,Andromeda,8517,2244,31,9800
dark,Consolas-Regular,14,c,One Monokai,8659,2581,33,9566
light,Consolas-Regular,14,c,Tokyo Night,8786,5025,35,6783
dark,Consolas-Regular,14,c,Github,8920,3469,37,8812
dark,Consolas-Regular,14,c,Plastic,9218,3429,42,9219
dark,Consolas-Regular,14,c,Atom One Dark,9609,3531,48,9566
dark,Consolas-Regular,14,c,One Dark Pro,9609,3531,48,9566
dark,Consolas-Regular,14,c,Nord,9999,2471,54,11306
dark,Consolas-Regular,14,c,Material,10205,3588,57,10213
light,Consolas-Regular,14,c,Night Owl,10224,6696,57,6503
dark,Consolas-Regular,14,c,Dracula Official,10560,3013,62,11329
light,Consolas-Regular,14,c,Winter is Coming,10862,7334,67,6503
dark,Consolas-Regular,14,c,Ayu,11986,2968,84,13096
dark,Consolas-Regular,14,c,Tokyo Night,14447,5013,122,13595
dark,Consolas-Regular,14,c,Palenight,16619,4544,156,16766
dark,Consolas-Regular,14,c,Learn with Sumit,23913,2609,268,27849
light,Consolas-Regular,14,c,Atom One Light,26553,23025,309,6503
dark,Consolas-Regular,14,c,Shades of Purple,124575,3617,1817,147514
dark,Consolas-Regular,14,c,Night Owl,124592,4252,1817,146772
